Région;Puissance ENR installée;Puissance Totale à compenser;Énergie non évacuée moyenne Printemps;Énergie non évacuée moyenne Été;Énergie non évacuée moyenne Automne;Énergie non évacuée moyenne Hiver
GRAND EST;10008.0;498.0;6844.0;17729.0;2211.0;24013.0
BRETAGNE;3672.0;9.0;2.0;7.0;0.0;0.0
PROVENCE-ALPES-CÔTE D'AZUR;5990.0;147.0;411.0;4284.0;0.0;2.0
HAUTS-DE-FRANCE;7856.0;842.0;7294.0;99751.0;8774.0;10228.0
ÎLE-DE-FRANCE;953.0;0.0;0.0;0.0;0.0;0.0
NOUVELLE-AQUITAINE;8202.0;901.0;5146.0;36037.0;8327.0;15814.0
OCCITANIE;7014.0;237.0;195.0;14353.0;1271.0;462.0
CENTRE-VAL DE LOIRE;3664.0;490.0;4877.0;33696.0;6560.0;40500.0
AUVERGNE-RHÔNE-ALPES;13251.0;83.0;23.0;1049.0;14.0;0.0
BOURGOGNE-FRANCHE-COMTÉ;4985.0;490.0;13754.0;30485.0;5754.0;69533.0
PAYS DE LA LOIRE;4131.0;124.0;73.0;977.0;77.0;104.0
NORMANDIE;9898.0;2.0;136.0;303.0;638.0;0.0
